StartDate,EndDate,Status,IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q7,Q8
Start Date,End Date,Response Type,IP Address,Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,Distribution Channel,User Language,"Which best describes your current relationship to UBC?  If more than one applies, select what you consider your primary relationship. - Selected Choice",My primary campus is:,In the past year ... (select all that apply),"Of the locations you've visited, where have you spent the most time?","Overall, how would you rate your experience of UBC Library in person? 
Please use a 10-point scale, where 1 is ""Poor"" and 10 is ""Excellent.""",How satisfied are you with the following aspects of the Library website? - Information about the Library and its services,How satisfied are you with the following aspects of the Library website? - Support for research and/or teaching,How satisfied are you with the following aspects of the Library website? - Finding and using ebooks,How satisfied are you with the following aspects of the Library website? - Finding and using online journals,How satisfied are you with the following aspects of the Library website? - Using indexes and databases,"How satisfied are you with the following aspects of the Library website? - Finding physical collections (books, dvds, etc)",How satisfied are you with the following aspects of the Library website? - Overall look and feel of the website,List up to three (3) words that describe your experience of the Library website.,"Overall, how would you rate the Library website?
Please use a 10-point scale where 1 is ""Poor"" and 10 is ""Excellent."" - 1"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_399""}","{""ImportId"":""QID6_400""}","{""ImportId"":""QID6_401""}","{""ImportId"":""QID6_402""}","{""ImportId"":""QID6_403""}","{""ImportId"":""QID6_404""}","{""ImportId"":""QID6_405""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}"
25/02/2019 11:05,25/02/2019 11:14,IP Address,<removed>,499,TRUE,25/02/2019 11:14,92492470025,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Koerner Library,8,Somewhat satisfied,No opinion,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Functional; navigable; consistent,9
25/02/2019 11:11,25/02/2019 11:16,IP Address,<removed>,322,TRUE,25/02/2019 11:16,40961031957,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have used the UBC Library website or online services,,,No opinion,No opinion,Very satisfied,Very satisfied,Very satisfied,No opinion,Very satisfied,Quick easy,10
25/02/2019 11:13,25/02/2019 11:21,IP Address,<removed>,504,TRUE,25/02/2019 11:21,14332250760,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have visited UBC Library in person,Koerner Library,10,,,,,,,,,
25/02/2019 11:11,25/02/2019 11:21,IP Address,<removed>,604,TRUE,25/02/2019 11:21,70015098840,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person","Irving K. Barber Learning Centre (Chapman Learning Commons / Music, Art & Architecture Library)",5,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,No opinion,No opinion,,
25/02/2019 11:05,25/02/2019 11:22,IP Address,<removed>,1060,TRUE,25/02/2019 11:22,95149737446,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Woodward Library,9,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,"direct, accessible, responsive",8
25/02/2019 11:14,25/02/2019 11:24,IP Address,<removed>,592,TRUE,25/02/2019 11:24,54451442879,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have used the UBC Library website or online services,,,Very satisfied,No opinion,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,"easy, user-friendly, clear",10
25/02/2019 11:11,25/02/2019 11:24,IP Address,<removed>,781,TRUE,25/02/2019 11:24,61593570600,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have used the UBC Library website or online services,,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,"time-consuming, too many clicks, confusing",6
25/02/2019 11:15,25/02/2019 11:26,IP Address,<removed>,616,TRUE,25/02/2019 11:26,5873591990,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have used the UBC Library website or online services,,,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,,8
25/02/2019 11:12,25/02/2019 11:27,IP Address,<removed>,897,TRUE,25/02/2019 11:27,11290799758,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Woodward Library,9,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,"informative, easy to use, clear",9
25/02/2019 11:30,25/02/2019 11:37,IP Address,<removed>,402,TRUE,25/02/2019 11:37,79701825107,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have visited UBC Library in person,"Irving K. Barber Learning Centre (Chapman Learning Commons / Music, Art & Architecture Library)",6,,,,,,,,,
25/02/2019 11:30,25/02/2019 11:41,IP Address,<removed>,664,TRUE,25/02/2019 11:41,81967849172,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have used the UBC Library website or online services,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,"accessible, user friendly, valuble resoureces ",10
25/02/2019 11:30,25/02/2019 11:45,IP Address,<removed>,914,TRUE,25/02/2019 11:45,82442235314,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,8
25/02/2019 11:07,25/02/2019 11:50,IP Address,<removed>,2547,TRUE,25/02/2019 11:50,13533596195,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person","Irving K. Barber Learning Centre (Chapman Learning Commons / Music, Art & Architecture Library)",8,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,,7
25/02/2019 11:42,25/02/2019 11:51,IP Address,<removed>,554,TRUE,25/02/2019 11:51,87974108132,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Koerner Library,7,Very satisfied,No opinion,Very satisfied,Very satisfied,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,adequate,5
25/02/2019 11:46,25/02/2019 11:55,IP Address,<removed>,526,TRUE,25/02/2019 11:55,5419795336,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have used the UBC Library website or online services,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No opinion,Very satisfied,,7
25/02/2019 11:42,25/02/2019 11:57,IP Address,<removed>,866,TRUE,25/02/2019 11:57,70633759127,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have used the UBC Library website or online services,,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,No opinion,Somewhat dissatisfied,,7
25/02/2019 11:53,25/02/2019 11:57,IP Address,<removed>,214,TRUE,25/02/2019 11:57,3895574522,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have not visited UBC Library in person or online,,,,,,,,,,,
25/02/2019 11:25,25/02/2019 12:01,IP Address,<removed>,2169,TRUE,25/02/2019 12:01,26462462303,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Woodward Library,9,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,"helpful, clunky",7
25/02/2019 11:23,25/02/2019 12:02,IP Address,<removed>,2336,TRUE,25/02/2019 12:02,54084517226,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Education Library,9,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,"efficient, easy to navigate, informative",9
25/02/2019 11:57,25/02/2019 12:07,IP Address,<removed>,588,TRUE,25/02/2019 12:07,40499450519,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Asian Library,7,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,not user-friendly,6
25/02/2019 12:10,25/02/2019 12:19,IP Address,<removed>,529,TRUE,25/02/2019 12:19,66943491299,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,8,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,,8
25/02/2019 12:06,25/02/2019 12:21,IP Address,<removed>,878,TRUE,25/02/2019 12:21,48505752689,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,7,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,"user friendly, professional, unlimited",7
25/02/2019 12:19,25/02/2019 12:26,IP Address,<removed>,406,TRUE,25/02/2019 12:26,39675832546,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Education Library,9,Very dissatisfied,No opinion,Very dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Very dissatisfied,Very dissatisfied,"helpful, friendly, current",9
